id,prime_name,synonym_1,synonym_1_code,synonym_2,synonym_2_code,synonym_3,synonym_3_code,synonym_4,synonym_4_code,code
1,Abouriou,,,,,,,,,ABO
2,Aglianico,,,,,,,,,AGL
3,Albarino,Alvarinho,ALV,,,,,,,ALB
4,Albillo,,,,,,,,,ALL
5,Aléatico,,,,,,,,,ALE
6,Alfrocheiro,,,,,,,,,ALF
7,Alicante Bouchet,Alicante Bouschet,ABS,Alicante Henri Bouschet,AHB,,,,,AHB
8,Aligoté,,,,,,,,,ALI
9,Alphonse Lavallée,,,,,,,,,APL
10,Alvarelhao,,,,,,,,,AVR
11,Ancellotta,,,,,,,,,ANC
12,Ansonica,Inzolia,INZ,Insolia,INS,,,,,ANS
13,Aranel,,,,,,,,,ARA
14,Arinto,,,,,,,,,ARI
15,Arneis,,,,,,,,,ARN
16,Assyrtiko,,,,,,,,,ASS
17,Aubun,,,,,,,,,AUB
18,Auxerrois,Aucerot,AUC,,,,,,,AUX
19,Azal,,,,,,,,,AZL
20,Barbera,,,,,,,,,BRB
21,Bastardo,Trousseau,TRU,,,,,,,BAS
22,Bianco d'Alessano,,,,,,,,,BDA
23,Biancone,,,,,,,,,BIA
24,Black Corinth,Zante Currant,ZCU,,,,,,,BLC
25,Blaufrankisch,Blaufraenkish,n/a,Limberger,LIM,Lemberger,LEM,,,BLF
26,Boal Branco,Malvasia Fina,MLF,,,,,,,BBR
27,Bonvedro,Parraleta,PAR,Bonvedro,BON,Carcajolo Nero,CJN,Tinta Caiada,TTC,BON
28,Bourboulenc,,,,,,,,,BOU
29,Brachetto,,,,,,,,,BRC
30,Brown Frontignac,Brown Muscat,BMU,Muscat à petits grains rouges,MPR,,,,,BFR
31,Burger,,,,,,,,,BUR
32,Cabernet Franc,,,,,,,,,CFR
33,Cabernet Sauvignon,Cabernet,CAB,,,,,,,CSA
34,Canada Muscat,,,,,,,,,MUC
35,Canaiolo,,,,,,,,,CNL
36,Cañocazo,,,,,,,,,CNC
37,Cardinal,,,,,,,,,CRD
38,Carignan,Carignane,CRG,Mazuela,MAZ,,,,,CAR
39,Carina,,,,,,,,,CRN
40,Carmenère,,,,,,,,,CMR
41,Carnelian,,,,,,,,,CRL
42,Cascade,,,,,,,,,CAS
43,Cesanese,,,,,,,,,CES
44,Chambourcin,,,,,,,,,CHM
45,Chardonnay,,,,,,,,,CHA
46,Chardonnay Musque,,,,,,,,,CMQ
47,Chasselas,,,,,,,,,CHS
48,Chenin Blanc,,,,,,,,,CHB
49,Cienna,,,,,,,,,CIE
50,Cinsaut,Oeillade,OEI,Blue Imperial,BIM,,,,,CIN
51,Clairette,Blanquette,BLQ,,,,,,,CLT
52,Colombard,,,,,,,,,COL
53,Colorino,,,,,,,,,CLR
54,Cortese,,,,,,,,,CTS
55,Corvina,,,,,,,,,COR
56,Counoise,,,,,,,,,COU
57,Crouchen,,,,,,,,,CRO
58,Crystal,,,,,,,,,CRY
59,Cygne Blanc,,,,,,,,,CYG
60,Diamond Muscat,,,,,,,,,MUD
61,Dolcetto,,,,,,,,,DOL
62,Doradillo,Cayetana Blanca,CYB,,,,,,,DOR
63,Dourado,Galego Dourado,GDO,,,,,,,DOU
64,Durif,Petite Sirah,PTS,,,,,,,DUR
65,Ehrenfelser,,,,,,,,,EHR
66,Emerald Riesling,,,,,,,,,EMR
67,Falanghina,,,,,,,,,FAL
68,Farana,Damaschino,DAM,Planta Fina de Pedralba,PFP,,,,,FAR
69,Fernao Pires,,,,,,,,,FRP
70,Fiano,,,,,,,,,FIA
71,Flora,,,,,,,,,FLO
72,Folle Blanche,,,,,,,,,FLB
73,Fortana,,,,,,,,,FOR
74,Freisa,,,,,,,,,FRE
75,Frontignac,Moscato Bianco,MOB,Muscat Blanc,MUB,White Frontignac,WFR,Mus...,n/a,FRO
76,Furmint,,,,,,,,,FUR
77,Gamay,,,,,,,,,GAM
78,Garganega,,,,,,,,,GAR
79,Gewürztraminer,Red Traminer,RTR,Savagnin Rose Aromatique,SRA,Traminer,TRA,,,GWU
80,Godello,,,,,,,,,GOD
