Value,Description,,,
Abouriou  ,ABO  ,  ,,
Aglianico  ,AGL  ,  ,,
Albarino  ,ALB  ,  ,,
Albariño  ,ALN  ,  ,,
Albillo  ,ALL  ,  ,,
Aléatico  ,ALE  ,  ,,
Alfrocheiro  ,ALF  ,  ,,
Alicante Bouchet  ,ABC  ,  ,,
Alicante Bouschet  ,ABS  ,  ,,
Alicante Henri Bouschet  ,AHB  ,  ,,
Aligoté  ,ALI  ,  ,,
Alphonse Lavallée  ,APL  ,  ,,
Alvarelhao  ,AVR  ,  ,,
Alvarinho  ,ALV  ,  ,,
Ancellotta  ,ANC  ,  ,,
Ansonica  ,ANS  ,  ,,
Apera  ,APR  ,  ,,
Aragonez  ,ARG  ,  ,,
Aranel  ,ARA  ,  ,,
Arinto  ,ARI  ,  ,,
Arneis  ,ARN  ,  ,,
Assyrtiko  ,ASS  ,  ,,
Aubun  ,AUB  ,  ,,
Aucerot  ,AUC  ,  ,,
Auxerrois  ,AUX  ,  ,,
Azal  ,AZL  ,  ,,
Balzac Noir  ,BZN  ,  ,,
Barbera  ,BRB  ,  ,,
Bastardo  ,BAS  ,  ,,
Bianco d'Alessano  ,BDA  ,  ,,
Biancone  ,BIA  ,  ,,
Black Corinth  ,BLC  ,  ,,
Black Frontignac  ,BFR  ,  ,,
Black Muscat  ,BMS  ,  ,,
Blanquette  ,BLQ  ,  ,,
Blaufraenkisch  ,BLK  ,  ,,
Blaufrankisch  ,BLF  ,  ,,
Blaufränkisch  ,BFK  ,  ,,
Blue Imperial  ,BIM  ,  ,,
Boal Branco  ,BBR  ,  ,,
Bonvedro  ,BON  ,  ,,
Bourboulenc  ,BOU  ,  ,,
Brachetto  ,BRC  ,  ,,
Brown Frontignac  ,FRB  ,  ,,
Brown Muscat  ,BMU  ,  ,,
Brun Argente  ,BRU  ,  ,,
Burger  ,BUR  ,  ,,
Cabernet  ,CAB  ,  ,,
Cabernet Franc  ,CRF  ,  ,,
Cabernet Sauvignon  ,CSA  ,  ,,
Cabernets  ,CBS  ,  ,,
Canaiolo  ,CNL  ,  ,,
Cañocazo  ,CNC  ,  ,,
Carcajolo Nero  ,CJN  ,  ,,
Cardinal  ,CRD  ,  ,,
Carignan  ,CAR  ,  ,,
Carignane  ,CRG  ,  ,,
Carina  ,CRN  ,  ,,
Carmenère  ,CMR  ,  ,,
Carnelian  ,CRL  ,  ,,
Cascade  ,CAS  ,  ,,
Cayetana Blanca  ,CYB  ,  ,,
Cesanese  ,CES  ,  ,,
Chambourcin  ,CHM  ,  ,,
Chardonnay  ,CHA  ,  ,,
Chardonnay Musque  ,CMQ  ,  ,,
Chasselas  ,CHS  ,  ,,
Chenin Blanc  ,CHB  ,  ,,
Cienna  ,CIE  ,  ,,
Cinsaut  ,CIN  ,  ,,
Clairette  ,CLT  ,  ,,
Colombard  ,COL  ,  ,,
Colorino  ,CLR  ,  ,,
Cordisco  ,CRD  ,  ,,
Cortese  ,CTS  ,  ,,
Corvina  ,COR  ,  ,,
Cot  ,COT  ,  ,,
Counoise  ,COU  ,  ,,
Crouchen  ,CRO  ,  ,,
Crystal  ,CRY  ,  ,,
Cygne Blanc  ,CYG  ,  ,,
Damaschino  ,DAM  ,  ,,
Dolcetto  ,DOL  ,  ,,
Doradillo  ,DOR  ,  ,,
Dourado  ,DOU  ,  ,,
Durif  ,DUR  ,  ,,
Ehrenfelser  ,EHR  ,  ,,
Emerald Riesling  ,EMR  ,  ,,
Falanghina  ,FAL  ,  ,,
Farana  ,FAR  ,  ,,
Fernao Pires  ,FRP  ,  ,,
Fiano  ,FIA  ,  ,,
Flora  ,FLO  ,  ,,
Folle Blanche  ,FLB  ,  ,,
Fortana  ,FOR  ,  ,,
Freisa  ,FRE  ,  ,,
Frontignac  ,FRO  ,  ,,
Fumé Blanc  ,FBL  ,  ,,
Furmint  ,FUR  ,  ,,
Galego Dourado  ,GDO  ,  ,,
Gamay  ,GAM  ,  ,,
Gamza  ,GMZ  ,  ,,
Garganega  ,GAR  ,  ,,
Garnacha  ,GNC  ,  ,,
Garnacha Tinta  ,GTN  ,  ,,
Gewurztraminer  ,GEW  ,  ,,
Gewürztraminer  ,GWU  ,  ,,
Glera  ,GLE  ,  ,,
Godello  ,GOD  ,  ,,
Gordo  ,GOR  ,  ,,
Gouais  ,GOU  ,  ,,
Graciano  ,GRA  ,  ,,
Granaxia  ,GRX  ,  ,,
Grand Noir  ,GRN  ,  ,,
Grechetto di Todi  ,GRT  ,  ,,
Greco  ,GRC  ,  ,,
Grenache  ,GRE  ,  ,,
Grenache Blanc  ,GRB  ,  ,,
Grenache Gris  ,GGS  ,  ,,
Grey Grenache  ,GGR  ,  ,,
Grignolino  ,GRG  ,  ,,
Grillo  ,GRL  ,  ,,
Grolleau  ,GRO  ,  ,,
Gros Cabernet  ,GCB  ,  ,,
Gros Manseng  ,GRM  ,  ,,
Gruener Veltliner  ,GVL  ,  ,,
Gruner Veltliner  ,GVE  ,  ,,
