Value,Description,,,
Abouriou  ,ABO  ,  ,,
Aglianico  ,AGL  ,  ,,
Albarino/Alvarinho  ,ALB  ,  ,,
Albillo  ,ALL  ,  ,,
Aléatico  ,ALE  ,  ,,
Alfrocheiro  ,ALF  ,  ,,
Alicante Bouchet/Alicante Bouschet/Alicante Henri Bouschet  ,AHB  ,  ,,
Aligoté  ,ALI  ,  ,,
Alphonse Lavallée  ,APL  ,  ,,
Alvarelhao  ,AVR  ,  ,,
Ancellotta  ,ANC  ,  ,,
Ansonica/Inzolia/Insolia  ,ANS  ,  ,,
Aranel  ,ARA  ,  ,,
Arinto  ,ARI  ,  ,,
Arneis  ,ARN  ,  ,,
Assyrtiko  ,ASS  ,  ,,
Aubun  ,AUB  ,  ,,
Auxerrois/Aucerot  ,AUX  ,  ,,
Azal  ,AZL  ,  ,,
Barbera  ,BRB  ,  ,,
Bastardo/Trousseau  ,BAS  ,  ,,
Bianco d'Alessano  ,BDA  ,  ,,
Biancone  ,BIA  ,  ,,
Black Corinth/Zante Currant  ,BLC  ,  ,,
Blaufrankisch/Blaufraenkish/Limberger/Lemberger  ,BLF  ,  ,,
Boal Branco/Malvasia Fina  ,BBR  ,  ,,
Bonvedro/Parraleta/Bonvedro/Carcajolo Nero/Tinta Caiada  ,BON  ,  ,,
Bourboulenc  ,BOU  ,  ,,
Brachetto  ,BRC  ,  ,,
Brown Frontignac/Brown Muscat/Muscat à petits grains rouges  ,BFR  ,  ,,
Burger  ,BUR  ,  ,,
Cabernet Franc  ,CFR  ,  ,,
Cabernet Sauvignon/Cabernet  ,CSA  ,  ,,
Canada Muscat  ,MUC  ,  ,,
Canaiolo  ,CNL  ,  ,,
Cañocazo  ,CNC  ,  ,,
Cardinal  ,CRD  ,  ,,
Carignan/Carignane/Mazuela  ,CAR  ,  ,,
Carina  ,CRN  ,  ,,
Carmenère  ,CMR  ,  ,,
Carnelian  ,CRL  ,  ,,
Cascade  ,CAS  ,  ,,
Cesanese  ,CES  ,  ,,
Chambourcin  ,CHM  ,  ,,
Chardonnay  ,CHA  ,  ,,
Chardonnay Musque  ,CMQ  ,  ,,
Chasselas  ,CHS  ,  ,,
Chenin Blanc  ,CHB  ,  ,,
Cienna  ,CIE  ,  ,,
Cinsaut/Oeillade/Blue Imperial  ,CIN  ,  ,,
Clairette/Blanquette  ,CLT  ,  ,,
Colombard  ,COL  ,  ,,
Colorino  ,CLR  ,  ,,
Cortese  ,CTS  ,  ,,
Corvina  ,COR  ,  ,,
Counoise  ,COU  ,  ,,
Crouchen  ,CRO  ,  ,,
Crystal  ,CRY  ,  ,,
Cygne Blanc  ,CYG  ,  ,,
Diamond Muscat  ,MUD  ,  ,,
Dolcetto  ,DOL  ,  ,,
Doradillo/Cayetana Blanca  ,DOR  ,  ,,
Dourado/Galego Dourado  ,DOU  ,  ,,
Durif/Petite Sirah  ,DUR  ,  ,,
Ehrenfelser  ,EHR  ,  ,,
Emerald Riesling  ,EMR  ,  ,,
Falanghina  ,FAL  ,  ,,
Farana/Damaschino/Planta Fina de Pedralba  ,FAR  ,  ,,
Fernao Pires  ,FRP  ,  ,,
Fiano  ,FIA  ,  ,,
Flora  ,FLO  ,  ,,
Folle Blanche  ,FLB  ,  ,,
Fortana  ,FOR  ,  ,,
Freisa  ,FRE  ,  ,,
Frontignac/Moscato Bianco/Muscat Blanc/White Frontignac/Mus...  ,FRO  ,  ,,
Furmint  ,FUR  ,  ,,
Gamay  ,GAM  ,  ,,
Garganega  ,GAR  ,  ,,
Gewürztraminer/Red Traminer/Savagnin Rose Aromatique/Traminer  ,GWU  ,  ,,
Godello  ,GOD  ,  ,,
Gouais  ,GOU  ,  ,,
Graciano/Morrastel  ,GRA  ,  ,,
Grand Noir  ,GRN  ,  ,,
Greco  ,GRC  ,  ,,
Grenache Blanc  ,GRB  ,  ,,
Grenache/Garnacha/Garnacha Tinta/Granaxia  ,GRE  ,  ,,
Grey Grenache/Grenache Gris  ,GGR  ,  ,,
Grignolino  ,GRG  ,  ,,
Grillo  ,GRL  ,  ,,
Grolleau  ,GRO  ,  ,,
Gros Cabernet  ,GCB  ,  ,,
Gros Manseng  ,GRM  ,  ,,
Gruener Veltliner/Grüner Veltliner  ,GVE  ,  ,,
Harslevelu  ,HAR  ,  ,,
Hawson's Seedless Muscat  ,MUH  ,  ,,
Isabella  ,ISA  ,  ,,
Jacquez/Troya  ,JAC  ,  ,,
Kardarka/Gamza  ,KDK  ,  ,,
Kerner  ,KER  ,  ,,
Kyoho  ,KYO  ,  ,,
Lacrima  ,LAC  ,  ,,
Lagrein  ,LAG  ,  ,,
Lambrusco  ,LAM  ,  ,,
Lambrusco Maestri  ,LMM  ,  ,,
Lambrusco Salamino  ,LMS  ,  ,,
Maccabeo/Macabeo/Viura  ,MAC  ,  ,,
Maceratino  ,MCT  ,  ,,
Malbec/Cot  ,MAL  ,  ,,
Malvasia Istria/Malvasia Istriana  ,MVI  ,  ,,
